AUTOGENERATED FILE DO NOT EDIT
View a prettier version of this at,https://docs.google.com/spreadsheets/d/15pJY4cxtM2NVNFKQDgDnoT5PLo0Nm5Td-Ov-5PZefAw
platform,Android Nexus5 Perf,Android Nexus5X WebView Perf,Win 7 Nvidia GPU Perf,Win 7 Perf,android-go-perf,android-go_webview-perf,android-pixel2-perf,android-pixel2_weblayer-perf,android-pixel2_webview-perf,linux-perf,mac-10_12_laptop_low_end-perf,mac-10_13_laptop_high_end-perf,win-10-perf,win-10_laptop_low_end-perf
shards,16,16,4,4,19,13,35,4,21,26,26,26,26,26
idealized cycle time (hours),0.82,0.48,3.32,2.33,0.43,0.16,0.49,0.10,0.28,0.39,0.43,0.31,0.53,0.68
angle_perftests,0.000,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000
base_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000
blink_perf.accessibility,0.003,0.001,0.005,0.006,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
blink_perf.bindings,0.051,0.014,0.052,0.061,0.000,0.000,0.013,0.000,0.009,0.006,0.009,0.007,0.008,0.011
blink_perf.canvas,0.036,0.000,0.067,0.020,0.000,0.000,0.010,0.000,0.005,0.006,0.010,0.008,0.008,0.010
blink_perf.css,0.018,0.004,0.040,0.047,0.000,0.000,0.006,0.000,0.003,0.004,0.006,0.003,0.006,0.008
blink_perf.display_locking,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
blink_perf.dom,0.015,0.006,0.011,0.013,0.000,0.000,0.003,0.000,0.002,0.001,0.002,0.002,0.002,0.003
blink_perf.events,0.014,0.002,0.012,0.013,0.000,0.000,0.003,0.000,0.002,0.001,0.002,0.001,0.002,0.002
blink_perf.image_decoder,0.017,0.005,0.020,0.024,0.000,0.000,0.006,0.000,0.004,0.002,0.004,0.002,0.003,0.005
blink_perf.layout,0.000,0.027,0.087,0.103,0.000,0.000,0.024,0.000,0.015,0.009,0.015,0.012,0.014,0.016
blink_perf.owp_storage,0.006,0.001,0.010,0.012,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.001,0.001,0.002
blink_perf.paint,0.000,0.000,0.032,0.040,0.000,0.000,0.006,0.000,0.005,0.003,0.006,0.004,0.004,0.008
blink_perf.parser,0.041,0.011,0.034,0.039,0.000,0.000,0.008,0.000,0.006,0.004,0.006,0.005,0.005,0.006
blink_perf.shadow_dom,0.036,0.000,0.020,0.024,0.000,0.000,0.008,0.000,0.004,0.001,0.003,0.002,0.004,0.004
blink_perf.svg,0.016,0.002,0.010,0.012,0.000,0.000,0.004,0.000,0.002,0.001,0.002,0.001,0.002,0.002
components_perftests,0.004,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
dawn_perf_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000
dromaeo,0.007,0.003,0.020,0.020,0.000,0.000,0.003,0.000,0.002,0.002,0.003,0.003,0.003,0.003
dummy_benchmark.noisy_benchmark_1,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
dummy_benchmark.stable_benchmark_1,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpu_perftests,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
jetstream,0.000,0.000,0.024,0.027,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.004,0.005
jetstream2,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.003,0.000,0.004,0.003,0.007
kraken,0.007,0.002,0.003,0.004,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.001
load_library_perf_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
loading.desktop,0.000,0.000,0.218,0.172,0.000,0.000,0.000,0.000,0.000,0.023,0.042,0.023,0.034,0.056
